Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value,Receptor,Standard Value
CHEMBL147434,,,202.26,0.0,1.99,1c,COc1ccc2[nH]cc(C3CC3N)c2c1,Ki,'=',nM,7.42,,,UO_0000065,36.68,0.68,5.43,14.54,0,CHEMBL617406,Binding affinity against the cloned human 5-hydroxytryptamine 2B receptor using [3H]5-HT as the radioligand,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL1833,Serotonin 2b (5-HT2b) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1131336,1,Scientific Literature,J Med Chem,1998.0,,,,,38.1,5HT2B,38.1
CHEMBL276571,,,443.43,1.0,5.38,31,COc1ccc(NC(=O)N2CCc3cc(OC)c(C(F)(F)F)cc32)cc1-c1cccnc1,Ki,'=',nM,7.8,,,UO_0000065,17.59,0.33,2.42,12.25,0,CHEMBL617780,Binding affinities towards human cloned 5-hydroxytryptamine 2B receptor in HEK293 cells using [3H]5-HT as radioligand.,B,BAO_0000219,cell-based format,,,,HEK293,,,,,CHEMBL1833,Serotonin 2b (5-HT2b) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1132976,1,Scientific Literature,J Med Chem,2000.0,CHEMBL3307715,,,,-7.8,5HT2B,15.85
CHEMBL361079,,,256.27,0.0,2.43,10,C[C@@H]1CNC[C@H]2Cc3ccc(C(F)(F)F)cc3N21,Ki,'=',nM,7.96,,,UO_0000065,31.06,0.6,5.53,52.12,0,CHEMBL828758,Binding affinity toward 5-HT2B receptor evaluated by displacement of [3H]5-HT radioligand ,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL1833,Serotonin 2b (5-HT2b) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1142762,1,Scientific Literature,Bioorg Med Chem Lett,2005.0,,,,,11.0,5HT2B,11.0
CHEMBL305275,,,298.18,0.0,2.21,3,C[C@@H](N)Cc1c2c(c(Br)c3c1OCC3)OCC2,Ki,'=',nM,8.94,,,UO_0000065,29.98,0.72,6.73,20.1,0,CHEMBL617382,Binding ability of compound at cloned human 5-hydroxytryptamine 2B receptor using [3H]rauwolscine as radioligand,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL1833,Serotonin 2b (5-HT2b) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1131247,1,Scientific Literature,J Med Chem,1998.0,,,,,1.15,5HT2B,1.15
CHEMBL232254,,,451.54,0.0,4.6,19,COc1ccc(N2Cc3c(c4cc(F)ccc4n3C)C2=O)cc1OCCN1CCC(C)CC1,Ki,'=',nM,7.2,,,UO_0000065,15.95,0.3,2.6,15.34,0,CHEMBL889894,Displacement of [3H]5-HT from human 5HT2B receptor expressed in HEK293 cells,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL1833,Serotonin 2b (5-HT2b) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1146275,1,Scientific Literature,Bioorg Med Chem Lett,2007.0,CHEMBL3307715,,,,-7.2,5HT2B,63.1
CHEMBL388882,,,436.58,1.0,5.18,24,COc1ccc(N2Cc3sc4ccccc4c3C2=O)cc1OCCN1CCC(C)CC1,Ki,'=',nM,6.7,,,UO_0000065,15.35,0.3,1.52,15.95,0,CHEMBL889894,Displacement of [3H]5-HT from human 5HT2B receptor expressed in HEK293 cells,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL1833,Serotonin 2b (5-HT2b) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1146275,1,Scientific Literature,Bioorg Med Chem Lett,2007.0,CHEMBL3307715,,,,-6.7,5HT2B,199.53
CHEMBL404581,,,333.41,0.0,3.91,34a,Fc1ccc(-c2nc(Cc3ccccc3)nc3c2CCCNC3)cc1,Ki,'=',nM,5.89,,,UO_0000065,17.65,0.32,1.98,15.57,0,CHEMBL934033,Displacement of [3H]mesulergine from human recombinant 5HT2B receptor expressed in CHO cells,B,BAO_0000219,cell-based format,Homo sapiens,,,CHO,,,,,CHEMBL1833,Serotonin 2b (5-HT2b) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1141597,1,Scientific Literature,Bioorg Med Chem Lett,2008.0,CHEMBL3308072,,,,1300.0,5HT2B,1300.0
CHEMBL404582,,,305.36,0.0,3.6,18i,Fc1ccc(-c2nc(-c3ccccc3)nc3c2CNCC3)cc1,Ki,'=',nM,6.0,,,UO_0000065,19.65,0.36,2.4,15.87,0,CHEMBL934033,Displacement of [3H]mesulergine from human recombinant 5HT2B receptor expressed in CHO cells,B,BAO_0000219,cell-based format,Homo sapiens,,,CHO,,,,,CHEMBL1833,Serotonin 2b (5-HT2b) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1141597,1,Scientific Literature,Bioorg Med Chem Lett,2008.0,CHEMBL3308072,,,,1000.0,5HT2B,1000.0
CHEMBL271317,,,337.37,0.0,3.66,18e,Fc1ccc(Cc2nc3c(c(-c4ccc(F)cc4)n2)CNCC3)cc1,Ki,'=',nM,5.66,,,UO_0000065,16.77,0.31,2.0,14.96,0,CHEMBL934033,Displacement of [3H]mesulergine from human recombinant 5HT2B receptor expressed in CHO cells,B,BAO_0000219,cell-based format,Homo sapiens,,,CHO,,,,,CHEMBL1833,Serotonin 2b (5-HT2b) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1141597,1,Scientific Literature,Bioorg Med Chem Lett,2008.0,CHEMBL3308072,,,,2200.0,5HT2B,2200.0
CHEMBL271212,,,297.38,0.0,3.59,18b,Fc1ccc(-c2nc(C3CCCC3)nc3c2CNCC3)cc1,Ki,'=',nM,6.66,,,UO_0000065,22.39,0.41,3.07,17.61,0,CHEMBL934033,Displacement of [3H]mesulergine from human recombinant 5HT2B receptor expressed in CHO cells,B,BAO_0000219,cell-based format,Homo sapiens,,,CHO,,,,,CHEMBL1833,Serotonin 2b (5-HT2b) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1141597,1,Scientific Literature,Bioorg Med Chem Lett,2008.0,CHEMBL3308072,,,,220.0,5HT2B,220.0
