Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value,Receptor,Standard Value
CHEMBL157285,,,499.37,0.0,2.46,35,COc1ccc(S(=O)(=O)N2CCc3cc(I)ccc32)cc1N1CCNCC1,Ki,'=',nM,8.4,,,UO_0000065,16.82,0.42,5.94,13.57,0,CHEMBL620784,Binding affinity against human 5-hydroxytryptamine 6 receptor,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL3371,Serotonin 6 (5-HT6) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1134050,1,Scientific Literature,Bioorg Med Chem Lett,2001.0,,,,,8.4,5HT6,3.981
CHEMBL343755,,,335.45,0.0,3.05,SS-2c,C[C@H]1C[C@H](C)N1C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,Ki,'=',nM,7.82,,,UO_0000065,23.32,0.43,4.77,19.89,0,CHEMBL620810,Binding affinities towards 5-hydroxytryptamine 6 receptor,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL3371,Serotonin 6 (5-HT6) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1135791,1,Scientific Literature,J Med Chem,2002.0,,,,,15.0,5HT6,15.0
CHEMBL1834225,,,308.41,0.0,1.67,5,CCN/C(=N\S(=O)(=O)c1ccccc1)N1CC(CC)C=N1,Ki,'=',nM,7.47,,,UO_0000065,24.22,0.49,5.8,10.08,0,CHEMBL1839301,Displacement of [3H]-methyllysergic acid diethylamide from human 5-HT6 receptor expressed in CHO cells after 30 mins by liquid scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,,,CHO,,,,,CHEMBL3371,Serotonin 6 (5-HT6) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1833864,1,Scientific Literature,J Med Chem,2011.0,CHEMBL3308072,,,,33.9,5HT6,33.9
CHEMBL181382,,,283.35,0.0,3.25,8,Nc1ccc(S(=O)(=O)c2cccc3ccccc23)cc1,Ki,'=',nM,7.47,,,UO_0000065,26.36,0.51,4.22,12.41,0,CHEMBL838622,Binding affinity against 5 Hydroxy tryptamine 6 receptor,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3371,Serotonin 6 (5-HT6) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1142049,1,Scientific Literature,Bioorg Med Chem Lett,2005.0,,,,,34.0,5HT6,34.0
CHEMBL4859019,,,463.62,1.0,5.31,70,CC(C)(C)OC(=O)N1CCCC(CNCCOc2cccc3c2ccn3Cc2ccccc2)C1,Ki,'=',nM,6.43,,,UO_0000065,13.88,0.26,1.12,11.54,0,CHEMBL4831101,Displacement of [3H]LSD from human 5HT6 receptor expressed in CHO-K1 membrane incubated for 60 mins by solid scintillation counting analysis,B,BAO_0000249,cell membrane format,Homo sapiens,,,CHO-K1,Membrane,,,,CHEMBL3371,Serotonin 6 (5-HT6) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4828761,1,Scientific Literature,Eur J Med Chem,2021.0,,TIME = 1.0 hr,ANTAGONIST,,369.0,5HT6,369.0
CHEMBL3669668,,,426.54,0.0,3.39,BDBM104389,COCCOc1cc(S(=O)(=O)c2ccccc2)cc2c3c(n(C)c12)CC1CCC3N1,Ki,'=',nM,8.15,,222963.0,UO_0000065,19.1,0.37,4.76,11.71,0,CHEMBL3705122,"Binding Assay: The relative affinities of the various compounds for the 5-HT6 receptor were measured in a radioligand binding assay, using a sintillation proximity assay (SPA) format.",B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3371,Serotonin 6 (5-HT6) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3638715,37,BindingDB Patent Bioactivity Data,,2013.0,,,,,7.1,5HT6,7.1
CHEMBL3289961,,,504.68,1.0,4.45,21,Cc1c(S(=O)(=O)NCCCN2CCN(c3nsc4ccccc34)CC2)sc2ccc(F)cc12,Ki,'=',nM,6.92,,,UO_0000065,13.71,0.29,2.47,10.56,0,CHEMBL3297241,Displacement of [3H]LSDm from human recombinant 5-HT6 receptor expressed in HEK293 cell membrane after 60 mins by liquid scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL3371,Serotonin 6 (5-HT6) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3286108,1,Scientific Literature,J Med Chem,2014.0,CHEMBL3307715,,,,120.0,5HT6,120.0
CHEMBL3286585,,,371.44,0.0,2.35,34,O=S(=O)(c1cccc(F)c1)n1cc2c3c(cccc31)N1CCNCC1C2,Ki,'=',nM,9.12,,,UO_0000065,24.55,0.48,6.77,16.78,0,CHEMBL3294611,Displacement of [3H]LSD from human 5-HT6 receptor expressed in hamster BHK cells after 60 mins by scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,,,BHK,,,,,CHEMBL3371,Serotonin 6 (5-HT6) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3286112,1,Scientific Literature,J Med Chem,2014.0,,,,,9.12,5HT6,0.75
CHEMBL3260334,,,368.66,0.0,4.03,2,Clc1cccc(COc2ccc(Br)cc2OC2CNC2)c1,Ki,'=',nM,7.33,,,UO_0000065,19.88,0.48,3.3,24.03,0,CHEMBL3271325,Binding affinity to human 5HT6 receptor,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3371,Serotonin 6 (5-HT6) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3259547,1,Scientific Literature,ACS Med Chem Lett,2014.0,,,,,0.047,5HT6,47.0
CHEMBL3289966,,,487.68,0.0,3.79,26,O=S(=O)(NCCCCN1CCN(c2nsc3ccccc23)CC1)c1cccc2scnc12,Ki,'=',nM,6.92,,,UO_0000065,14.19,0.3,3.13,8.82,0,CHEMBL3297241,Displacement of [3H]LSDm from human recombinant 5-HT6 receptor expressed in HEK293 cell membrane after 60 mins by liquid scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL3371,Serotonin 6 (5-HT6) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3286108,1,Scientific Literature,J Med Chem,2014.0,CHEMBL3307715,,,,120.0,5HT6,120.0
